insurer_id,vehicle_type,min_idv,avg_idv,max_idv,risk_factor,tenure,addons
14,2,294858,571821.5,848785,5,1,0110
12,1,190771,381172.0,571573,4,1,0011
11,2,189876,506434.5,822993,2,1,0010
10,1,189934,484143.0,778352,3,2,0010
18,2,226599,523550.0,820501,2,3,1000
17,1,166859,447121.0,727383,3,2,0001
1,1,247890,453368.0,658846,3,3,0111
20,1,260206,595701.5,931197,2,1,1011
5,2,260206,515572.0,770938,4,2,1011
4,2,222403,463230.0,704057,2,2,0101
16,1,267592,578261.0,888930,5,2,0000
2,1,184103,519725.5,855348,5,1,0010
10,2,154996,544621.5,934247,4,3,1000
8,1,176704,354261.0,531818,3,2,1000
8,1,197812,393876.0,589940,2,2,1010
15,1,211074,468491.0,725908,2,1,0100
2,2,229811,454208.5,678606,2,1,0010
11,2,206224,559135.0,912046,4,3,0001
17,1,258911,454748.0,650585,1,1,1101
2,2,208485,558744.0,909003,3,3,0000
14,2,277815,521061.5,764308,5,3,0000
5,2,173717,445133.0,716549,3,3,1100
10,1,170874,395972.0,621070,2,1,1111
1,2,190375,501366.5,812358,5,1,0100
18,2,158626,477761.5,796897,3,2,0001
6,2,256154,420972.5,585791,5,1,1111
11,2,175626,552137.5,928649,1,1,0000
13,2,282731,412311.5,541892,2,1,1111
14,1,250687,381195.0,511703,3,3,0010
15,2,271106,541977.5,812849,4,3,0001
19,2,256974,563255.5,869537,1,2,1000
7,2,295234,515947.5,736661,3,3,0100
8,1,156751,407516.5,658282,3,3,1011
10,1,269883,439937.5,609992,5,3,0011
17,2,218805,366686.0,514567,4,1,0010
18,1,234597,381849.0,529101,2,2,1001
17,1,285594,505320.0,725046,4,2,0001
20,2,190907,514217.5,837528,4,2,1111
11,1,178831,528448.0,878065,2,1,0110
10,1,204282,435972.0,667662,4,1,0010
1,2,201958,542251.0,882544,4,2,1010
18,1,244909,452690.0,660471,5,3,0000
20,2,238865,523652.0,808439,4,3,0101
14,1,171535,345242.0,518949,3,1,0101
20,2,254773,484144.5,713516,4,2,1101
2,2,197002,527494.5,857987,3,2,0101
6,2,242537,410450.0,578363,1,2,1001
4,1,211137,505097.5,799058,3,1,1000
4,1,231222,451449.0,671676,1,3,1100
13,2,232176,471866.5,711557,2,2,0111
12,1,254375,444013.0,633651,5,2,1110
6,1,199044,388636.0,578228,2,1,0011
5,1,212968,524455.0,835942,3,3,1111
2,2,240237,504834.5,769432,2,2,1000
5,1,258671,542004.5,825338,2,2,1001
5,1,279327,444786.5,610246,2,1,0000
11,2,199463,407527.0,615591,3,1,1100
3,1,156842,467128.0,777414,2,3,1001
14,1,169855,441260.0,712665,4,1,1000
1,2,245016,526165.5,807315,2,1,1001
18,2,244715,494273.5,743832,3,1,0001
15,2,194031,449891.5,705752,2,2,1100
1,2,256478,391922.0,527366,2,3,0011
8,2,150121,465975.5,781830,5,1,1010
2,2,280924,543172.0,805420,1,2,1010
17,2,164972,541214.0,917456,2,1,0010
20,1,153156,361555.5,569955,1,1,0110
18,2,272094,476572.0,681050,2,1,0010
20,1,226690,465637.0,704584,4,2,0011
6,2,215770,523760.5,831751,4,3,1000
19,2,208890,453230.0,697570,1,2,0101
6,2,192659,376318.0,559977,4,3,1110
1,2,261651,560239.5,858828,4,1,1101
17,2,278352,577012.5,875673,2,1,1001
8,2,172539,496124.5,819710,2,2,1001
19,1,237213,524128.0,811043,3,1,1101
18,1,189642,354886.0,520130,3,2,0011
17,2,172197,410422.5,648648,3,2,0000
16,1,167905,457350.0,746795,4,2,0011
2,2,286065,432035.5,578006,1,2,1001
8,1,228871,379570.0,530269,2,1,0110
1,2,178750,582766.0,986782,1,3,1001
3,2,288369,545388.0,802407,4,2,1010
11,2,241564,434300.0,627036,3,1,1011
5,1,165171,553607.0,942043,4,2,0110
13,2,263628,413280.5,562933,4,1,1100
8,2,292886,497772.5,702659,3,3,1101
17,1,251828,477873.5,703919,1,2,0011
1,1,216477,592607.0,968737,2,1,1111
16,2,215786,518496.5,821207,3,3,0111
3,1,223416,534654.0,845892,3,1,1101
8,2,284243,539970.0,795697,2,1,1110
11,2,275543,510299.5,745056,2,1,0000
3,1,268782,611993.0,955204,2,3,1001
7,2,259125,437063.5,615002,3,3,0000
12,2,192786,375678.0,558570,2,3,1100
17,1,221111,477164.0,733217,3,1,1111
20,2,259997,530685.0,801373,4,3,1111
5,1,296629,601634.0,906639,3,1,1001
18,2,274778,415384.0,555990,5,3,1010
8,1,151603,574203.0,996803,5,3,0111
11,2,279518,552914.5,826311,3,2,1001
7,1,279075,552454.0,825833,4,2,0011
14,2,183685,539038.0,894391,3,1,1111
18,1,259316,443087.0,626858,5,2,0001
15,1,243002,533006.0,823010,2,2,1100
3,2,294681,413434.5,532188,1,1,0111
10,2,156872,551326.0,945780,2,2,0100
2,2,285975,494878.5,703782,4,3,1110
19,2,270535,599169.0,927803,4,1,0101
19,1,249016,502858.5,756701,5,2,0001
8,1,183273,484685.0,786097,5,3,1101
10,2,223393,515764.5,808136,3,1,0101
19,1,272795,440890.5,608986,3,3,0111
14,2,159579,345043.5,530508,2,3,1001
6,1,189498,375452.0,561406,5,3,1100
15,2,169689,362876.0,556063,1,2,1001
11,2,195932,361716.0,527500,4,3,0101
2,1,252298,392366.5,532435,1,3,1000
10,1,275757,560402.0,845047,5,3,0001
10,1,216349,462680.0,709011,5,2,1110
10,1,282574,601438.0,920302,1,1,0100
14,1,291413,582566.5,873720,4,2,0011
16,1,245429,405028.0,564627,1,2,1000
10,2,173883,535820.0,897757,1,1,0001
1,1,184916,415159.5,645403,2,3,0100
3,2,265955,412823.0,559691,1,2,1011
13,1,277592,550397.5,823203,3,1,0100
13,2,244184,558245.0,872306,1,3,1010
12,1,219059,469440.0,719821,3,2,0011
11,2,228733,510297.5,791862,1,3,1101
18,1,242277,441745.0,641213,1,2,1110
18,1,236371,560602.0,884833,3,3,0000
10,1,239438,532753.0,826068,5,3,0111
1,2,298059,551461.5,804864,4,3,0101
5,1,209643,420987.5,632332,4,1,1010
3,1,208404,583452.5,958501,3,1,1010
7,2,234146,608244.5,982343,1,3,0111
15,1,239341,386711.0,534081,2,3,0100
7,1,169401,551583.0,933765,3,2,1011
1,1,225258,523012.0,820766,1,3,1111
6,2,257616,381107.5,504599,3,2,0101
8,1,196292,472882.0,749472,4,2,1000
9,1,260913,449420.0,637927,1,2,1011
7,2,282307,544174.0,806041,1,3,1111
17,2,239564,597501.0,955438,4,2,0111
15,1,250917,379511.5,508106,5,3,0011
12,1,223038,571692.5,920347,1,1,1011
12,2,165663,430813.0,695963,5,1,0101
5,2,190200,379269.5,568339,4,2,1101
4,2,295843,468484.5,641126,4,1,0001
17,2,256491,557414.5,858338,4,2,1001
11,1,213855,588890.0,963925,1,2,1001
4,1,224717,511548.5,798380,4,1,0111
12,2,241311,479193.0,717075,1,1,0000
15,1,279335,633114.0,986893,1,3,1000
16,1,292345,617927.5,943510,1,2,1101
10,2,283882,464543.5,645205,1,1,0101
10,1,249892,557488.5,865085,3,3,0101
11,2,202446,529716.5,856987,2,3,1011
5,1,165120,414511.5,663903,5,1,0100
20,2,260956,552395.5,843835,5,1,0101
2,1,266833,576027.5,885222,4,2,0110
3,2,249570,493764.5,737959,1,1,1011
4,1,156014,550267.0,944520,5,1,0111
7,2,184234,387318.0,590402,3,2,0111
9,2,277519,391884.5,506250,5,2,1001
3,2,189917,417986.0,646055,1,3,0000
7,2,234658,581973.0,929288,5,2,1110
7,2,218565,425961.0,633357,4,3,1011
5,2,252385,612145.0,971905,1,2,0011
1,1,161204,541527.0,921850,3,2,1011
10,1,226340,422053.0,617766,5,3,1101
7,1,161796,396513.0,631230,2,2,1011
6,1,289484,542938.0,796392,4,2,0001
13,1,203198,494831.5,786465,1,2,1001
20,2,232824,411251.5,589679,3,3,1000
10,2,270109,388038.0,505967,4,3,0111
20,1,183291,402271.0,621251,1,2,1111
10,2,238063,597519.0,956975,1,1,1100
12,2,164118,446346.0,728574,5,2,0100
12,1,178572,485208.0,791844,5,3,1011
5,1,200616,446924.0,693232,1,2,0001
8,2,164735,381835.0,598935,4,3,1001
6,1,269315,528844.5,788374,1,1,1000
20,1,246073,430016.0,613959,5,2,1010
9,1,252782,427762.5,602743,3,3,1000
8,2,199980,372274.0,544568,5,1,1011
14,1,196475,377250.0,558025,4,1,1000
8,1,263879,618166.5,972454,2,1,1000
18,2,205600,372679.5,539759,3,3,1010
19,1,281143,510409.5,739676,5,3,0111
3,1,255288,563931.5,872575,1,2,0110
11,2,267657,497889.0,728121,5,3,1001
1,2,202045,502186.5,802328,2,3,1000
13,1,196692,369915.0,543138,2,1,0011
1,1,230477,388225.0,545973,4,1,1010
16,1,183331,545432.0,907533,3,2,0111
4,2,288659,523157.5,757656,2,1,1101
9,1,201282,509363.5,817445,2,3,0101
8,1,179038,452859.5,726681,3,1,1110
20,1,222637,559376.5,896116,1,1,1101
13,1,205695,554203.0,902711,1,3,1100
16,2,164631,366798.0,568965,1,3,0001
15,1,225678,363120.5,500563,4,3,1000
6,1,176319,357888.5,539458,3,3,1001
14,2,270653,396813.0,522973,4,1,0010
3,2,239127,466609.5,694092,5,2,1010
14,2,162309,573117.0,983925,3,1,0010
20,1,295025,582860.5,870696,2,3,1001
11,2,273688,437009.0,600330,4,3,1101
17,1,151044,401886.5,652729,1,3,1100
11,2,234740,556747.5,878755,2,2,0100
9,1,155830,390762.0,625694,1,2,1010
15,1,254539,404354.5,554170,3,2,1101
15,2,270932,509129.0,747326,1,1,0110
13,2,166880,521041.5,875203,2,1,1011
3,2,169729,341694.0,513659,4,1,0010
4,2,243886,540768.0,837650,2,2,1000
2,2,175424,381201.0,586978,2,3,0111
8,2,191993,558422.0,924851,1,3,1011
12,1,199517,515654.0,831791,1,2,1001
10,1,177073,476085.5,775098,4,2,0010
6,2,175266,429176.0,683086,2,2,0010
2,1,245496,388337.0,531178,5,3,0001
10,2,255319,487329.5,719340,1,2,0111
16,1,170202,354306.0,538410,3,2,0111
11,2,294350,594261.5,894173,5,2,1011
9,2,214408,524946.0,835484,5,3,0010
8,2,155281,379372.5,603464,3,2,0000
7,2,291423,645038.0,998653,2,1,1000
17,1,175849,444395.5,712942,2,1,0001
19,2,273296,483478.0,693660,4,2,0110
11,2,281089,494422.0,707755,4,2,1001
19,1,166307,358297.0,550287,2,1,1011
4,1,191148,533495.5,875843,3,2,0110
19,1,215933,405745.5,595558,3,1,0100
8,1,255617,432088.5,608560,5,1,0111
16,1,200579,470458.0,740337,3,1,0101
18,2,259790,429684.5,599579,3,1,1001
18,1,176512,568583.0,960654,4,3,0000
19,1,188145,564011.0,939877,5,2,1011
19,2,291963,604867.0,917771,3,2,0000
4,2,190845,574535.0,958225,4,2,1010
2,1,233624,400445.0,567266,2,2,1111
18,2,152504,354863.5,557223,1,2,0010
2,2,287060,397118.5,507177,2,1,1100
8,1,150262,563445.5,976629,4,1,0110
19,2,247474,412278.0,577082,2,3,1101
9,1,160628,560058.0,959488,2,3,0100
6,1,226476,492336.5,758197,5,2,1011
9,1,206718,549428.0,892138,5,1,1110
4,2,276061,467779.5,659498,5,1,1001
18,2,285528,450515.5,615503,3,3,1110
4,1,284190,637936.5,991683,1,2,0101
16,1,228301,586394.0,944487,5,2,1011
10,1,276486,615633.0,954780,1,1,0000
11,2,293626,546093.0,798560,1,3,0100
16,1,228078,452192.0,676306,1,1,1001
7,2,276628,429181.0,581734,1,1,0111
20,2,197956,524133.5,850311,2,1,1110
2,1,283201,603230.0,923259,3,3,1111
17,1,180161,434654.0,689147,3,2,1101
15,2,249127,509020.5,768914,5,2,1111
3,1,269781,483067.0,696353,3,3,1101
2,1,248768,564666.5,880565,2,3,0011
16,1,228954,413208.5,597463,2,1,1001
11,1,196293,455109.5,713926,4,1,1011
13,1,255426,387091.0,518756,5,1,0000
9,1,191568,394619.5,597671,1,3,0101
8,1,271616,630612.5,989609,3,3,0001
9,2,226917,371947.0,516977,3,3,0110
13,2,191255,504210.0,817165,4,2,0110
16,1,232749,436330.0,639911,4,1,0000
8,1,202610,373811.5,545013,5,2,0000
10,2,223709,608828.0,993947,1,3,1010
10,1,263078,454881.0,646684,3,3,1111
10,2,230635,507468.0,784301,2,1,1110
13,1,237112,480230.0,723348,2,3,1100
11,2,238978,371191.5,503405,1,2,1010
6,2,182631,372677.5,562724,3,1,1000
20,2,199228,426684.5,654141,1,3,0100
8,2,220971,372551.0,524131,4,1,0111
16,2,250850,594313.0,937776,5,3,1011
8,1,209430,469343.0,729256,1,3,0100
8,2,225616,572943.5,920271,1,3,0111
8,2,232827,468467.0,704107,2,1,0100
19,1,219495,561446.5,903398,3,2,1010
6,2,267544,386256.0,504968,1,1,0000
4,1,216438,478572.0,740706,5,1,0000
15,2,231401,512315.0,793229,2,2,1001
17,2,278781,419686.0,560591,4,1,0001
15,1,158979,568959.0,978939,1,3,1101
8,2,255861,510592.5,765324,3,1,1000
19,1,189789,542433.5,895078,2,2,0101
16,2,203763,580863.5,957964,2,2,1000
3,1,227714,439449.0,651184,5,2,0001
14,1,182406,400414.5,618423,5,3,1101
5,1,272401,598600.0,924799,1,2,0111
9,1,186219,453927.5,721636,3,2,1000
5,1,220722,387355.5,553989,1,3,0001
19,2,216052,598159.5,980267,3,2,1101
19,1,260719,577504.0,894289,5,1,0000
14,2,150627,448970.0,747313,3,1,1111
10,1,216448,543631.0,870814,2,3,1000
5,2,296346,447041.0,597736,1,1,0001
6,2,168198,481751.0,795304,5,1,0010
14,1,174614,529151.0,883688,3,2,0000
20,1,223910,574420.0,924930,1,2,1011
9,1,253716,444467.5,635219,1,2,0110
14,1,165333,354132.5,542932,1,3,0100
12,1,249955,454064.5,658174,1,3,0110
12,2,167569,515081.5,862594,4,2,0111
13,2,167453,371715.5,575978,4,3,1001
